,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority
24751,19828561,624,2,31008,9.7332000732422,4.0189361572266,1,POINT (9.736191367733539 4.018764958304104),0.33234452716545654,0.06368039060634056,0.0
24752,19822726,624,2,31008,9.7332000732422,4.0189361572266,1,POINT (9.736191367733539 4.018764958304104),0.33234452716545654,0.45700726600526187,0.0
24753,131139726,624,1,51,11.522598266602001,3.8610076904297,1,POINT (11.52248222237006 3.861215856407654),0.026486406619324,0.8024022878534923,0.0
24754,13152,624,2,32,10.27702331543,5.1326751708984,0,POINT (10.28099847784367 5.139776781984011),0.9040916902820516,0.31745634446620496,0.0
24755,19764795,624,2,31004,11.574783325195,3.8802337646483998,1,POINT (11.56836601762734 3.865583247056236),1.7778383208234234,0.30534354253775453,0.0
24756,19759474,624,2,31004,11.574783325195,3.8802337646483998,1,POINT (11.56836601762734 3.865583247056236),1.7778383208234234,0.6561254611225162,0.0
24757,15996,624,2,20005,9.6920013427734,4.0409088134766,1,POINT (9.691852776326272 4.04123315267492),0.039651289195513556,0.4837215788953708,0.0
24758,28527,624,2,45,9.221649000000001,3.964691,0,POINT (9.207110551995584 4.010112738753264),5.301886469825621,0.03257184667026425,0.0
24759,23185,624,2,20005,9.6906280517578,4.0409088134766,1,POINT (9.690465990446228 4.040908856841128),0.017975597420488213,0.8566596219316173,0.0
24760,19829935,624,2,31001,9.6906280517578,4.0409088134766,1,POINT (9.690465990446228 4.040908856841128),0.017975597420488213,0.7153106239875439,0.0
24761,533249,624,1,1012,9.697569,4.057653,1,POINT (9.697566216805455 4.058083544081711),0.04787531285044911,0.8001679831051276,0.0
24762,17261,624,1,716,9.6480560302734,4.5819854736328,0,POINT (9.647821297851294 4.582284164334936),0.04219020317390778,0.4639163229590666,0.0
24763,17181,624,1,716,9.6480560302734,4.5819854736328,0,POINT (9.647821297851294 4.582284164334936),0.04219020317390778,0.19041718597980095,0.0
24764,17002,624,1,864,9.6878814697266,4.0464019775391,1,POINT (9.690004231400394 4.046492461640156),0.23566679524756842,0.8507763873251238,0.0
24765,19823797,624,2,31005,9.6878814697266,4.0464019775391,1,POINT (9.690004231400394 4.046492461640156),0.23566679524756842,0.2941243406198305,0.0
24766,19822330,624,2,31005,9.687880999999999,4.040222,1,POINT (9.690465990446228 4.040908856841128),0.29672113445038073,0.6419375920321724,0.0
24767,19830046,624,2,31005,9.6878814697266,4.0464019775391,1,POINT (9.690004231400394 4.046492461640156),0.23566679524756842,0.257095756115604,0.0
24768,1018567,624,2,1005,9.6480560302734,4.5819854736328,0,POINT (9.647821297851294 4.582284164334936),0.04219020317390778,0.0487862360244965,0.0
24769,12822017,624,2,13570,9.7180938720703,4.0148162841797,1,POINT (9.718197098000616 4.01609565741947),0.1427198569848651,0.599372379361859,0.0
24770,131148687,624,1,51,14.547958374022999,5.8962249755859,0,POINT (14.54799186365739 5.895943219802973),0.031548029293376405,0.5486991568647883,0.0
24771,20422,624,2,33,10.395126342773,5.4965972900391,1,POINT (10.39572309532213 5.497576842951474),0.12738346180685906,0.37726891450910716,0.0
24772,82554,624,1,1,9.6645355224609,4.0807342529297,1,POINT (9.664445880786616 4.080827754524023),0.014385668998091619,0.586938352342564,0.0
24773,7422,624,2,20010,9.698868,4.038162000000001,1,POINT (9.695986395695314 4.042782966571707),0.605126731787695,0.08950884282378457,0.0
24774,19824109,624,2,31008,9.7332,4.01001,1,POINT (9.733566826211842 4.011168858553106),0.1351307241808743,0.28248559651022587,0.0
24775,19829569,624,2,31008,9.7332,4.01001,1,POINT (9.733566826211842 4.011168858553106),0.1351307241808743,0.8063919896929805,0.0
24776,131137896,624,1,51,11.491012573242,3.8610076904297,1,POINT (11.48741837446235 3.870091118401973),1.0858924277221491,0.7935934056064022,0.0
24777,131142822,624,1,51,11.511611938477001,3.8678741455078,1,POINT (11.51188841876808 3.867870165518099),0.030676373113685564,0.7792224783500467,0.0
24778,131147142,624,1,51,11.515295,3.8920980000000003,1,POINT (11.52271373053568 3.892615722981134),0.8250332897571332,0.06188720642050238,0.0
24779,131147143,624,1,51,11.50749206543,3.8829803466797,1,POINT (11.51612245333715 3.881334854776014),0.974779482449418,0.6738287090265743,0.0
24780,20819,624,2,20016,11.513328999999999,3.8695910000000002,1,POINT (11.51426443686066 3.869451998285001),0.10492338841430185,0.5149625887607525,0.0
24781,9163,624,2,20016,11.514358999999999,3.8702769999999997,1,POINT (11.51472686645874 3.870253475866434),0.04089533897715359,0.9527535841454511,0.0
24782,10182,624,2,20016,11.512985229492,3.8692474365233998,1,POINT (11.51425379184363 3.869381255022205),0.14152060208763284,0.9142064689776997,0.0
24783,9261,624,2,20016,11.512985229492,3.8678741455078,1,POINT (11.51249216725367 3.867672436422225),0.05912086493692452,0.3863459361008891,0.0
24784,20957,624,2,20016,11.512985229492,3.8678741455078,1,POINT (11.51249216725367 3.867672436422225),0.05912086493692452,0.6260765039756347,0.0
24785,15701,624,1,213,11.488265991211,3.8582611083983998,1,POINT (11.48517277878312 3.869356528407849),1.280591291480499,0.3446321224065261,0.0
24786,32,624,2,20019,11.512985,3.86879,1,POINT (11.51243642759755 3.867743431142088),0.13132626662763874,0.4650556736137844,0.0
24787,21318,624,2,20016,11.511612,3.868561,1,POINT (11.51109473635657 3.868452288693476),0.05864538316274394,0.5420283306975401,0.0
24788,3042,624,2,20019,11.512985229492,3.8665008544922,1,POINT (11.5130384997025 3.866485726570914),0.006144630128086094,0.5522050188580344,0.0
24789,9581,624,2,20019,11.520309,3.861465,1,POINT (11.52023402830085 3.861590443660475),0.016240313205029815,0.6933232521654317,0.0
24790,20958,624,2,20016,11.512985229492,3.8678741455078,1,POINT (11.51249216725367 3.867672436422225),0.05912086493692452,0.874838639527053,0.0
24791,20998,624,2,20016,11.511611938477001,3.8692474365233998,1,POINT (11.51109473635657 3.868452288693476),0.10540318928550638,0.7289193928196172,0.0
24792,21044,624,2,20019,11.520538,3.861008,1,POINT (11.52037735884511 3.860964231674387),0.01847450790835683,0.190352893924852,0.0
24793,22901,624,2,20019,11.511612,3.868561,1,POINT (11.51109473635657 3.868452288693476),0.05864538316274394,0.08716206705241192,0.0
24794,20828,624,2,20019,11.512985229492,3.8665008544922,1,POINT (11.5130384997025 3.866485726570914),0.006144630128086094,0.811751942044637,0.0
24795,19758722,624,2,31007,11.480026245117,3.9008331298828,1,POINT (11.45625823031966 3.895397089911199),2.7051653429450764,0.8788670091369286,0.0
24796,6533,624,2,20012,9.7977447509766,3.9955902099608998,1,POINT (9.797615965845807 3.995322954422619),0.032972738409859655,0.5219557576821412,0.0
